ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,89,0,-89
1,1,0,114,0,-114
2,1,1,147,1246,1099
3,1,0,3,0,-3
4,1,0,18,0,-18
5,0,0,27,0,-27
6,1,1,229,1737,1508
7,1,1,336,1286,950
8,1,0,0,0,0
9,1,0,52,0,-52
10,0,0,80,0,-80
11,0,0,47,0,-47
12,0,0,24,0,-24
13,0,0,144,0,-144
14,0,0,62,0,-62
15,1,1,1233,3243,2010
16,1,1,1,2364,2363
17,1,1,658,1393,735
18,0,0,41,0,-41
19,1,0,103,0,-103
20,1,1,616,1626,1010
21,1,0,13,0,-13
22,1,1,2581,1749,-832
23,1,0,3,0,-3
24,0,0,150,0,-150
25,0,0,22,0,-22
26,1,0,167,0,-167
27,1,0,62,0,-62
28,1,1,183,1299,1116
29,0,0,41,0,-41
30,1,1,311,1280,969
31,1,1,1748,2705,957
32,0,0,18,0,-18
33,0,0,61,0,-61
34,1,1,44,1481,1437
35,1,1,344,2496,2152
36,1,1,2012,1202,-810
37,1,0,42,0,-42
38,1,0,131,0,-131
39,1,0,81,0,-81
40,1,0,27,0,-27
41,0,0,90,0,-90
42,0,0,14,0,-14
43,1,0,2,0,-2
44,1,0,6,0,-6
45,0,0,5,0,-5
46,0,0,5,0,-5
47,1,1,828,1325,497
48,1,1,187,1933,1746
49,1,0,13,0,-13
50,1,0,20,0,-20
51,0,0,51,0,-51
52,0,0,10,0,-10
53,1,1,333,1710,1377
54,1,1,708,1313,605
55,1,0,72,0,-72
56,0,0,35,0,-35
57,0,0,9,0,-9
58,1,0,103,0,-103
59,0,0,45,0,-45
60,0,0,8,0,-8
61,1,0,94,0,-94
62,0,0,18,0,-18
63,1,0,36,0,-36
64,0,0,45,0,-45
65,1,0,53,0,-53
66,1,0,0,0,0
67,1,1,238,1243,1005
68,1,1,659,1726,1067
69,1,0,0,0,0
70,0,0,48,0,-48
71,1,1,213,1567,1354
72,1,0,21,0,-21
73,0,0,21,0,-21
74,0,0,69,0,-69
75,0,0,51,0,-51
76,0,0,32,0,-32
77,1,1,182,1859,1677
78,1,0,49,0,-49
79,1,1,1029,1435,406
80,0,0,55,0,-55
81,0,0,46,0,-46
82,0,0,7,0,-7
83,1,0,75,0,-75
84,1,1,39,1487,1448
85,1,1,28,1455,1427
86,0,0,58,0,-58
87,1,1,567,1479,912
88,0,0,48,0,-48
89,1,1,292,1433,1141
90,1,0,77,0,-77
91,0,0,27,0,-27
92,1,0,51,0,-51
93,0,0,17,0,-17
94,0,0,61,0,-61
95,1,0,28,0,-28
96,1,1,1339,1440,101
97,0,0,0,0,0
98,0,0,52,0,-52
99,1,1,198,1296,1098
100,1,0,41,0,-41
101,1,1,342,1361,1019
102,1,0,66,0,-66
103,0,0,17,0,-17
104,0,0,25,0,-25
105,1,0,6,0,-6
106,0,0,120,0,-120
107,1,0,42,0,-42
108,1,1,99,1286,1187
109,1,0,18,0,-18
110,1,0,80,0,-80
111,1,1,1285,2536,1251
112,1,1,546,1457,911
113,0,0,15,0,-15
114,0,0,26,0,-26
115,0,0,61,0,-61
116,1,0,40,0,-40
117,1,0,31,0,-31
118,0,0,49,0,-49
119,0,0,72,0,-72
120,1,0,109,0,-109
121,0,0,87,0,-87
122,1,0,28,0,-28
123,0,0,37,0,-37
124,1,0,2,0,-2
125,1,1,430,1770,1340
126,1,1,704,1516,812
127,0,0,97,0,-97
128,1,0,52,0,-52
129,0,0,91,0,-91
130,1,0,55,0,-55
131,0,0,39,0,-39
132,1,1,307,1910,1603
133,1,1,119,1871,1752
134,1,1,830,1311,481
135,0,0,213,0,-213
136,1,1,106,1424,1318
137,0,0,36,0,-36
138,1,1,607,1383,776
139,0,0,1,0,-1
140,1,0,10,0,-10
141,0,0,113,0,-113
142,1,1,519,1439,920
143,0,0,7,0,-7
144,0,0,10,0,-10
145,1,0,30,0,-30
146,1,0,110,0,-110
147,1,1,655,1331,676
148,1,0,35,0,-35
149,1,0,9,0,-9
150,0,0,136,0,-136
151,0,0,12,0,-12
152,1,0,4,0,-4
153,0,0,6,0,-6
154,1,1,840,1302,462
155,1,1,257,1843,1586
156,0,0,86,0,-86
157,0,0,6,0,-6
158,0,0,7,0,-7
159,1,0,56,0,-56
160,0,0,168,0,-168
161,1,0,35,0,-35
162,0,0,14,0,-14
163,1,0,146,0,-146
164,1,0,24,0,-24
165,1,0,69,0,-69
166,0,0,23,0,-23
167,0,0,73,0,-73
168,1,1,424,1963,1539
169,1,0,12,0,-12
170,1,0,51,0,-51
171,1,1,73,1307,1234
172,1,1,785,1457,672
173,1,1,226,1255,1029
174,1,0,29,0,-29
175,1,0,53,0,-53
176,0,0,63,0,-63
177,1,0,46,0,-46
178,0,0,8,0,-8
179,1,0,68,0,-68
180,1,0,60,0,-60
181,1,1,446,2109,1663
182,1,1,11,1215,1204
183,1,1,1922,1603,-319
184,1,1,282,1259,977
185,1,0,46,0,-46
186,0,0,4,0,-4
187,1,1,369,1779,1410
188,0,0,10,0,-10
189,1,0,7,0,-7
190,0,0,2,0,-2
191,0,0,186,0,-186
192,0,0,69,0,-69
193,1,0,128,0,-128
194,0,0,98,0,-98
195,0,0,23,0,-23
196,0,0,111,0,-111
197,1,1,1633,1257,-376
198,0,0,32,0,-32
199,1,0,22,0,-22
200,1,1,564,2117,1553
201,1,1,279,1702,1423
202,1,0,64,0,-64
203,1,0,165,0,-165
204,1,0,16,0,-16
205,1,1,111,1580,1469
206,1,0,89,0,-89
207,1,1,697,1219,522
208,1,1,254,1900,1646
209,0,0,46,0,-46
210,0,0,36,0,-36
211,1,0,4,0,-4
212,1,1,604,1717,1113
213,0,0,26,0,-26
214,0,0,20,0,-20
215,1,0,36,0,-36
216,0,0,63,0,-63
217,1,0,17,0,-17
218,1,1,524,1255,731
219,1,0,21,0,-21
220,0,0,32,0,-32
221,1,0,49,0,-49
222,0,0,1,0,-1
223,0,0,59,0,-59
224,0,0,336,0,-336
225,0,0,56,0,-56
226,0,0,13,0,-13
227,0,0,9,0,-9
228,0,0,66,0,-66
229,1,0,6,0,-6
230,0,0,56,0,-56
231,1,1,308,1312,1004
232,0,0,18,0,-18
233,0,0,18,0,-18
234,1,1,212,1377,1165
235,1,0,7,0,-7
236,1,1,215,1381,1166
237,0,0,7,0,-7
238,1,1,352,1521,1169
239,0,0,9,0,-9
240,0,0,64,0,-64
241,0,0,29,0,-29
242,0,0,47,0,-47
243,1,0,56,0,-56
244,1,1,433,1321,888
245,0,0,1,0,-1
246,1,1,30,1763,1733
247,0,0,6,0,-6
248,1,0,5,0,-5
249,0,0,11,0,-11
250,1,1,611,1436,825
251,0,0,1,0,-1
252,1,0,32,0,-32
253,0,0,126,0,-126
254,1,0,81,0,-81
255,1,0,42,0,-42
256,1,1,117,1210,1093
257,0,0,7,0,-7
258,1,0,66,0,-66
259,0,0,2,0,-2
260,1,0,88,0,-88
261,1,1,1711,1314,-397
262,1,1,1226,1368,142
263,0,0,13,0,-13
264,0,0,41,0,-41
265,1,0,18,0,-18
266,1,0,36,0,-36
267,0,0,14,0,-14
268,0,0,23,0,-23
269,1,0,24,0,-24
270,1,0,65,0,-65
271,1,1,511,1778,1267
272,0,0,9,0,-9
273,1,0,22,0,-22
274,1,1,1227,2268,1041
275,1,1,171,2152,1981
276,1,1,36,1210,1174
277,0,0,81,0,-81
278,1,0,56,0,-56
279,0,0,44,0,-44
280,0,0,16,0,-16
281,1,0,38,0,-38
282,0,0,10,0,-10
283,1,0,4,0,-4
284,1,0,0,0,0
285,1,0,59,0,-59
286,0,0,9,0,-9
287,1,0,61,0,-61
288,1,1,136,1262,1126
289,0,0,69,0,-69
290,0,0,1,0,-1
291,0,0,127,0,-127
292,1,1,113,1469,1356
293,0,0,10,0,-10
294,0,0,33,0,-33
295,1,1,363,2075,1712
296,1,1,257,2749,2492
297,0,0,4,0,-4
298,1,0,15,0,-15
299,0,0,2,0,-2
300,0,0,41,0,-41
301,1,1,398,1362,964
302,1,1,426,2385,1959
303,1,1,645,1217,572
304,1,0,97,0,-97
305,0,0,16,0,-16
306,0,0,33,0,-33
307,1,1,60,2910,2850
308,1,0,28,0,-28
309,1,1,151,1623,1472
310,1,1,1016,1581,565
311,0,0,96,0,-96
312,1,1,253,1444,1191
313,1,1,32,1464,1432
314,1,1,386,1512,1126
315,0,0,18,0,-18
316,1,0,59,0,-59
317,1,1,862,3237,2375
318,1,1,1415,1219,-196
319,0,0,60,0,-60
320,1,0,2,0,-2
321,1,0,20,0,-20
322,1,1,265,1284,1019
323,1,1,543,1385,842
324,1,0,26,0,-26
325,1,1,1494,1504,10
326,0,0,4,0,-4
327,1,0,195,0,-195
328,0,0,29,0,-29
329,1,1,247,1239,992
330,1,1,89,1244,1155
331,1,1,854,1678,824
332,0,0,55,0,-55
333,1,1,854,1757,903
334,0,0,48,0,-48
335,1,0,54,0,-54
336,1,1,167,1664,1497
337,1,1,606,1560,954
338,1,1,470,1326,856
339,0,0,40,0,-40
340,1,1,103,1417,1314
341,0,0,49,0,-49
342,0,0,163,0,-163
343,1,0,40,0,-40
344,0,0,57,0,-57
345,1,0,15,0,-15
346,1,0,8,0,-8
347,1,1,999,1305,306
348,1,0,64,0,-64
349,0,0,11,0,-11
350,1,1,1319,2445,1126
351,0,0,9,0,-9
352,0,0,17,0,-17
353,0,0,63,0,-63
354,1,0,8,0,-8
355,0,0,12,0,-12
356,1,1,223,1415,1192
357,1,1,592,1445,853
358,1,0,131,0,-131
359,1,1,138,2170,2032
360,1,0,33,0,-33
361,1,1,634,2338,1704
362,1,0,26,0,-26
363,1,0,16,0,-16
364,0,0,31,0,-31
365,0,0,11,0,-11
366,1,1,390,1404,1014
367,1,0,15,0,-15
368,1,1,288,2552,2264
369,1,0,56,0,-56
370,1,1,959,1303,344
371,0,0,18,0,-18
372,0,0,101,0,-101
373,1,1,1315,1822,507
374,0,0,19,0,-19
375,1,0,62,0,-62
376,0,0,169,0,-169
377,0,0,167,0,-167
378,0,0,14,0,-14
379,1,1,354,2153,1799
380,1,1,777,1476,699
381,0,0,8,0,-8
382,0,0,4,0,-4
383,1,0,54,0,-54
384,1,1,1443,1294,-149
385,1,0,2,0,-2
386,0,0,33,0,-33
387,1,1,1215,1283,68
388,1,1,934,1825,891
389,0,0,128,0,-128
390,0,0,19,0,-19
391,1,1,1250,1320,70
392,0,0,3,0,-3
393,1,1,834,1238,404
394,1,0,77,0,-77
395,1,0,54,0,-54
396,1,0,28,0,-28
397,1,0,27,0,-27
398,1,0,2,0,-2
399,0,0,44,0,-44
400,1,0,54,0,-54
401,1,1,484,2466,1982
