ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,30,33475.14881644962,0.33355401234188015,0,17,0,0,-17
1,27,22742.435628871932,0.06623539647897292,1,117,6328,1554,7765
2,57,30050.887902941184,0.10059191909538293,1,655,5997,1438,6780
3,59,23305.11274538804,0.058805377089824196,1,1325,6415,1635,6725
4,53,40941.65132201289,0.17719975877784663,1,202,6282,1528,7608
5,56,23054.36558536078,0.03140523778327337,1,89,6791,1559,8261
6,18,25679.253772444878,0.019486377325963637,1,1890,6923,1441,6474
7,24,20177.826379139824,0.004075515677958061,1,45,6314,2213,8482
8,35,26091.77539553903,0.020483398917056903,1,1228,16522,1800,17094
9,72,20356.254929621184,0.10137393276244157,1,212,11268,1751,12807
10,20,24223.701040041826,0.22014213079400952,1,127,6749,1435,8057
11,49,21699.108709590164,0.00527760227647681,1,996,7366,1807,8177
12,53,22728.58202201564,0.2955299202684541,1,440,7074,1359,7993
13,20,25692.75100709925,0.2745762667277248,0,3,0,0,-3
14,44,28547.80012373052,0.1010724392669468,1,652,5731,1384,6463
15,21,40203.80414673547,0.17350417146880615,0,2,0,0,-2
16,31,25535.79218669307,0.3544260367046969,0,232,0,0,-232
17,54,34123.54638877695,0.26139360041602155,0,21,0,0,-21
18,50,20333.047818777544,0.04910490324221524,0,5,0,0,-5
19,55,20536.611806774465,0.04729123162302657,1,133,20016,1546,21429
20,30,40061.84134918185,0.05461047467108862,1,582,6868,1587,7873
21,59,25786.8404744484,0.06880433260620898,1,1042,6536,1614,7108
22,74,20281.265882459214,0.04676895162652761,1,394,11591,1343,12540
23,31,20907.83099028032,0.2970063225073186,0,58,0,0,-58
24,30,42451.0720136218,0.0727563306170773,1,816,12817,1442,13443
25,39,37034.776347446386,0.03534543570743702,0,36,0,0,-36
26,30,23896.127478144055,0.04785179651996018,0,23,0,0,-23
27,27,36728.84537423885,0.012744438122492317,1,8,5474,2758,8224
28,26,25405.576611607306,0.2859794489200622,1,236,6655,1644,8063
29,39,23422.697238713565,0.01226620167370687,1,279,6555,1595,7871
30,63,45825.74781580572,0.06318252207718,1,207,5907,2176,7876
31,72,28291.039014352198,0.06937051503575145,1,419,5300,2360,7241
32,22,22736.799587065234,0.05482592173179495,0,127,0,0,-127
33,22,41927.64768478904,0.10162432186739853,1,73,6276,1546,7749
34,30,20140.913284721468,0.07063356807912231,1,443,6598,1602,7757
35,18,22197.07822010547,0.151617435622987,1,411,6152,1816,7557
36,27,38872.57859936612,0.017805950584587185,1,101,14319,2149,16367
37,75,36270.10746683328,0.21083481875296703,1,495,5887,1684,7076
38,54,65886.31679544086,0.07539934563327935,1,474,5306,2384,7216
39,66,33835.23752467101,0.04484451680450473,1,488,6643,1497,7652
40,19,28566.45462184353,0.013326948237819759,1,1321,12923,3214,14816
41,33,56530.140662922495,0.09063111041932978,0,25,0,0,-25
42,27,20369.437118910828,0.06639000524218161,1,546,7645,3636,10735
43,72,26223.281954573427,0.0011905533492128431,0,46,0,0,-46
44,69,24949.514651329133,0.08037882754708561,1,164,95981,1414,97231
45,44,34756.04343155623,0.3614943521460127,0,43,0,0,-43
46,22,22329.38995390584,0.2645471179915555,1,378,8879,1452,9953
47,26,57692.775055372804,0.1375972991562462,0,13,0,0,-13
48,62,23198.070633760955,0.006148803590520522,1,457,5795,1888,7226
49,47,22367.83845188641,0.09208231347607743,1,2034,8938,1606,8510
50,25,29105.770342491847,0.03824208683245646,1,282,5922,1537,7177
51,34,62326.03309957889,0.15887480001000118,1,256,10940,2724,13408
52,22,29368.770535526546,0.08743408348763818,1,462,5424,1686,6648
53,24,30022.010321668313,0.02109972579822705,0,45,0,0,-45
54,39,40318.37690405148,0.07844068022622121,1,1364,12613,1860,13109
55,27,32014.12535588817,0.18723360877332387,1,342,11316,1655,12629
56,59,20321.01756480461,0.05144278546617884,1,1441,14177,1636,14372
57,35,24848.94327970525,0.13044691485976695,1,424,17030,1454,18060
58,32,35327.257562555875,0.1372613196374603,0,21,0,0,-21
59,26,22369.691307731315,0.043275989136011724,1,1103,5798,1574,6269
60,19,30233.09523281792,0.0909047356791966,1,276,5624,1516,6864
61,23,23968.32544047825,0.31565738759071427,1,470,5786,1348,6664
62,18,23519.552686973268,0.02869234035784638,1,1023,14571,1581,15129
63,33,38233.22287976317,0.049928307265199326,1,64,8772,2183,10891
64,38,25840.36116718028,0.23107311897880667,1,120,6542,1690,8112
65,34,23851.954778615476,0.1083508377505608,1,1383,15607,2034,16258
66,28,20572.04321549848,0.3103573096802851,1,164,7999,11798,19633
67,18,24327.31597505522,0.10504058357364525,0,26,0,0,-26
68,18,24788.133727302087,0.4432119447226117,0,1,0,0,-1
69,32,29618.3859905901,0.1947394258433821,0,17,0,0,-17
70,33,34129.474830749314,0.04674883691139145,1,280,5390,1429,6539
71,31,23718.61763616983,0.12840242668874075,1,623,9944,1697,11018
72,23,20491.635741687787,0.18477256320167015,0,84,0,0,-84
73,74,28702.32365864956,0.0403624379572682,1,65,8045,1479,9459
74,54,22802.782240711407,0.005045696320139474,1,591,5407,1648,6464
75,30,20792.11263283444,0.11772909411933467,1,3613,7486,1526,5399
76,21,26277.089785590168,0.010669215765342023,1,397,12997,1407,14007
77,37,29935.951981135335,0.058938730202280125,1,1444,8864,2806,10226
78,49,27224.576598119915,0.026634755595053294,1,113,6779,1467,8133
79,66,25786.197758868657,0.09154979774840215,1,28,15779,2206,17957
80,49,29456.19816515624,0.10410456230253481,1,500,6936,1369,7805
81,18,35009.69642377668,0.07482422994006113,0,27,0,0,-27
82,62,32216.3852229397,0.05000962265780353,1,240,5868,1335,6963
83,31,23983.09187392842,0.06886820683493657,0,46,0,0,-46
84,41,23293.123301998094,0.11957188442550273,1,45,26571,3719,30245
85,60,20993.50916599232,0.14449442632024392,1,732,5514,1355,6137
86,34,21352.742055722316,0.08822443469126265,0,104,0,0,-104
87,24,21602.128333154425,0.15433199705626663,1,648,7632,1550,8534
88,29,24099.675386542076,0.10127604662300757,1,734,18346,1387,18999
89,53,31804.82964325634,0.021848698109664225,1,610,8947,1366,9703
90,25,23345.56255005607,0.18046743468776177,1,1052,5574,1552,6074
91,27,21024.621548398813,0.02311265535028084,1,929,5251,1842,6164
92,47,28738.605382743634,0.11669451567136875,0,48,0,0,-48
93,35,50646.124359223315,0.2416097155247713,0,17,0,0,-17
94,18,23196.622398660187,0.24184552036090642,1,176,12015,1358,13197
95,29,21268.870803140293,0.13625477729736774,0,103,0,0,-103
96,18,20137.986674232856,0.06674364152736678,0,45,0,0,-45
97,38,44032.479071768335,0.3075718860447693,1,434,5699,1607,6872
98,22,42519.1754499419,0.1905104735697416,1,348,7301,1377,8330
99,18,27671.33570563063,0.3585819368153554,0,10,0,0,-10
100,18,21903.23750017101,0.0317090546248204,1,710,26144,1773,27207
101,73,26731.517700899938,0.08455187521195198,1,186,17579,2347,19740
102,34,20211.077052504177,0.024231295972741176,1,687,7739,2037,9089
103,31,71382.96719080656,0.17193475668741365,0,15,0,0,-15
104,23,31169.42041169303,0.04609978488783851,1,595,12615,1712,13732
105,32,20661.028221362943,0.10666708109060768,1,568,7227,1799,8458
106,59,37886.50175693358,0.09924131534989783,1,1941,7556,3081,8696
107,19,28418.429228351684,0.09648887675360214,1,113,8449,1440,9776
108,63,48738.82955402183,0.10173049813060082,1,1926,8325,2292,8691
109,39,40342.936083464454,0.6605934494410627,0,96,0,0,-96
110,22,21798.841990304176,0.07857530455329893,1,343,7543,1514,8714
111,23,27276.402861651273,0.019042699623837804,1,76,10791,4330,15045
112,72,20071.45111712528,0.043441700278242165,1,189,5720,1432,6963
113,34,21665.684410586822,0.13205800706321819,1,714,5907,1849,7042
114,20,20787.70230034433,0.27413488498531935,1,144,6597,1856,8309
115,48,21354.29567868617,0.1822919814934542,1,1409,6632,2363,7586
116,61,27911.397205952362,0.2003428324782732,1,191,5388,1878,7075
117,51,25657.98500775252,0.2441684698610066,0,20,0,0,-20
118,65,22429.212131510376,0.01882877080886083,1,1301,6359,2207,7265
119,32,200111.90241799873,0.05857511271884258,1,35,6115,1702,7782
120,34,48276.643254459814,0.12277131526874643,1,185,6377,1536,7728
121,39,24188.889133269215,0.012756123609046606,1,568,5609,2215,7256
122,18,32098.642117338033,0.11782228073554138,1,567,11905,1691,13029
123,24,27089.671430619983,0.044909436491308956,0,31,0,0,-31
124,36,31533.073291457284,0.05138093650551915,1,697,7009,1817,8129
125,33,33441.230963754184,0.0013716182493437863,1,91,22838,1944,24691
126,25,30123.657339023186,0.043827102015014,0,83,0,0,-83
127,36,23395.488205792244,0.04921347558417286,0,10,0,0,-10
128,28,24924.490733921928,0.03637535264376402,0,84,0,0,-84
129,20,20056.164724973336,0.42267571712936347,1,207,6461,1851,8105
130,25,35408.418356970426,0.025489640006894916,1,4008,5400,1813,3205
131,47,21880.048822713798,0.1997093712948527,0,72,0,0,-72
132,27,22107.01894859906,0.18811089709759776,1,63,6811,1708,8456
133,59,23377.239950669074,0.008405244767468623,1,273,10862,1528,12117
134,66,24015.04645824009,0.08371423629323825,0,37,0,0,-37
