likes,marked_as_ads,date,text
129,0,1686083400,"«Интер» создаст много проблем. Против него нелегко атаковать, «Ман Сити» нужно играть терпеливо»

#vkfootball"
1249,0,1686080220,"🙅‍♂️ Анхель в Италии не задержался 

😏 По информации инсайдера Фабрицио Романо, о том, чтобы снова подписать Ди Марию, мечтает «Бенфика», за которую он выступал c 2007 по 2010 год."
3039,0,1686076263,"🆘 ЭТО НЕ СОН! БЕНЗ УЖЕ В НОВОМ КЛУБЕ!

✍️ Контракт 35-летнего француза рассчитан до 2026 года."
2460,0,1686074216,"😱 Как вам такой переход?

🔥 Подтолкнуть руководство «шпор» к ее заключению могут нежелание продавать своего лидера «Манчестер Юнайтед» и «Манчестер Сити», непопадание в еврокубки и истекающий контракт."
3614,0,1686067202,"👋 Карим попрощался с «Реалом»

#vkfootball"
2954,0,1686064033,"😍 Иньеста сегодня сыграл против бывшего клуба в Японии

#vkfootball"
4151,0,1686063894,"😭 Вот как выглядит настоящая боль

#vkfootball"
1482,0,1686059948,"⛔️ Не задалось со звездами

👉 Гальтье возглавил «ПСЖ» летом прошлого года, подписав двухлетний контракт. В прошедшем сезоне парижане выиграли Лигу 1 в рекордный 11-й раз, но вылетели из Лиги чемпионов в 1/8 финала, оказавшись слабее «Баварии» (0:1, 0:2)."
3147,0,1686052802,"«Не Златан завершил карьеру в футболе, а футбол завершил карьеру в Златане» 
 
Серхио Рамос реально написал это 😂

#vkfootball"
2269,0,1686049203,"Скрытый герой Симеоне 😑

#vkfootball"
2666,0,1686045602,"Диего Марадоне понравились бы эти последние 12 месяцев в мире футбола 😢

#vkfootball"
1605,0,1686045574,"У «шпор» новый тренер! Нашли! 
 
👍 Последним клубом тренера был «Селтик». В сезоне-2022/23 команда под руководством Постекоглу выиграла три трофея – чемпионат Шотландии, Кубок страны и Кубок лиги.

#vkfootball"
1726,0,1686042132,"И Лева туда же 😱

#vkfootball"
2248,0,1686036601,"Пенальти, офсайд и гамбургер, пожалуйста 😅

#vkfootball"
3741,0,1686034672,"😭 Концовка сезона со слезами на глазах 😔

#vkfootball"
1685,0,1686033442,"Уже совсем скоро 🙈 
 
Верите в такое будущее? 😏

#vkfootball"
277,0,1685997000,"19 июня вынесут решение по делу об ударе Промеса ножом в колено родственнику. 

#vkfootball"
1653,0,1685991601,"Официальная символическая сборная сезона 2022/23 Лиги Европы!
 
🤔 Со всеми согласны? Может кого не хватает?

#vkfootball"
3283,0,1685988001,"Финал ЛЧ действительно может быть один раз в жизни 🇪🇺

#vkfootball"
2194,0,1685984751,"Неужели переход опять переносится? 😱

#vkfootball"
3136,0,1685983674,"До перехода спать не ложимся 😅

#vkfootball"
1907,0,1685978256,"Какой центрфорвард нужен «Реалу»?

#vkfootball"
3542,0,1685973602,"Возвращение все ближе! 😱

#vkfootball"
5881,0,1685968533,"Ожидаем большое возвращение! 😍

#vkfootball"
4805,0,1685966271,"Легендарный ❤

#vkfootball"
3777,0,1685962802,"Карим отдал все Мадриду, а Мадрид дал Кариму все 🤝

#vkfootball"
1655,0,1685961000,"Какой стиль больше к лицу Эрлингу? 😅

#vkfootball"
2434,0,1685959201,"Роберт и Антуан в топах 👌

#vkfootball"
3464,0,1685957400,"Матеу Лаос был в слезах, когда завершил свой последний матч в качестве арбитра в Ла Лиге 😓

#vkfootball"
3907,0,1685955603,"Это было очень сильно, не удержался сам Златан 😢

#vkfootball"
3974,0,1685953800,"Прощание с королем 👑👏

#vkfootball"
2535,0,1685952002,"Под чистую забрал 💪

#vkfootball"
3054,0,1685950200,"Трофей Серии А наконец в руках игроков «Наполи» 🏆🔥

#vkfootball"
997,0,1685948404,"✅ Клубный футбол окончен! 
 
🇪🇸 Итоги Ла Лиги 2022/2023: 
 
🏆 Чемпион: «Барселона». 
 
🇪🇺 Лига Чемпионов: «Реал Мадрид», «Атлетико Мадрид», «Реал Сосьедад», «Севилья». 
 
🇪🇺 Лига Европы: «Вильярреал», «Бетис». 
 
🇪🇺 Лига Конференций: «Осасуна». 
 
❌ Вылетели: «Эльче», «Эспаньол», «Вальядолид». 
 
🇮🇹 Итоги Серии А 2022/2023: 
 
🏆 Чемпион: «Наполи». 
 
🇪🇺 Лига Чемпионов: «Лацио», «Интер», «Милан». 
 
🇪🇺 Лига Европы: «Аталанта», «Рома». 
 
🇪🇺 Лига Конференций: «Ювентус». 
 
❌ Вылетели: «Сампдория», «Кремонезе»; «Верона» 🆚 «Специя» - предстоит очный матч за выживание.

#vkfootball"
4679,0,1685946600,"❗️Перед завершением карьеры Ибрагимович напоследок обоссал (вербально) фанатов «Вероны», которые освистали его прощальную речь на «Сан-Сиро»: 
 
«Да-да, продолжайте свистеть. Это наилучший момент для вас в этом сезоне – вы увидели меня» 
 
Болельщики «Милана» в экстазе, а фанаты гостей окончательно приуныли – «Верона» финишировала 18-й и ей придётся сыграть в стыках за право остаться в Серии А.

#vkfootball"
5565,0,1685944803,"Златан прошел футбол 🤩

#vkfootball"
9450,0,1685916152,😭 Златан Ибрагимович объявил о завершении игровой карьеры!
3547,0,1685912499,"🇪🇸 «Барса» заканчивает сезон с поражением 💪

#vkfootball"
2704,0,1685906262,"Ну, хоть где-то какой-нибудь титул возьмет 😁

#vkfootball"
8331,0,1685903449,"🇪🇸 «Реал» играет последний матч в сезоне вничью, а Бензема забивает последний гол за «сливочных»! 

#vkfootball"
1237,0,1685901475,Придумай смешной комментарий к видео 👇
2411,0,1685898370,"Новый тренер «ПСЖ»? 

#vkfootball"
3262,0,1685887500,"Скоро в Саудовской Аравии 😍🇸🇦

#vkfootball"
292,1,1685883900,"«Реал Мадрид» против «Атлетика»: Вальверде нужны еврокубки, но необходимо постараться для победы на «Сантьяго Бернабеу». «Барселона» в гостях у «Сельты»: последний шанс Карвальяла, чтобы остаться в Ла Лиге. 

Смотрите онлайн-трансляции 38 тура Ла Лиги в Full HD по подписке в [club179985743|Okko]:
https://vk.cc/cox1ZO"
6301,0,1685882199,"Следующий клуб Карима уже известен ✅

#vkfootball"
2279,0,1685881800,"Пенальти Бруно Фернандеша — первый гол, пропущенный «Манчестер Сити» в Кубке Англии в этом сезоне 👀 
 
«Сити» стал первой командой, вышедшей в финал Кубка Англии, не пропустив ни одного гола с 1966 года.

#vkfootball"
2336,0,1685880002,"📊 Единственный английский клуб в истории, забивавший 150 голов за один сезон: 
 
• «Манчестер Сити» — 2013/14 (156) 
• «Манчестер Сити» — 2018/19 (169) 
• «Манчестер Сити» — 2021/22 (150) 
• «Манчестер Сити» — 2022/23 (150...)

#vkfootball"
3182,0,1685878200,"Гюндоган в этом сезоне 😁

#vkfootball"
3946,0,1685876402,"Марко ждут в Париже! 👌

#vkfootball"
3389,0,1685874600,"🇳🇴 Первый сезон Эрлинга Холанда в Англии: 
 
🏆 Премьер-лига 
🏆 Кубок Англии 
🎖 «Золотая бутса» с рекордным количеством голов 
 
Идеальный дебют 👏

#vkfootball"
