ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,20,0,-20
1,0,0,12,0,-12
2,1,1,196,1424,1228
3,1,0,2,0,-2
4,1,0,78,0,-78
5,1,1,1986,1395,-591
6,1,0,70,0,-70
7,0,0,29,0,-29
8,0,0,3,0,-3
9,0,0,33,0,-33
10,0,0,7,0,-7
11,1,1,648,1293,645
12,0,0,73,0,-73
13,1,1,416,1393,977
14,0,0,8,0,-8
15,0,0,71,0,-71
16,1,0,10,0,-10
17,1,1,1207,1393,186
18,1,1,288,1790,1502
19,1,1,22,1279,1257
20,0,0,169,0,-169
21,0,0,5,0,-5
22,1,0,41,0,-41
23,1,1,725,1252,527
24,1,1,253,1414,1161
25,0,0,0,0,0
26,0,0,17,0,-17
27,1,0,7,0,-7
28,1,1,897,2085,1188
29,0,0,25,0,-25
30,1,0,13,0,-13
31,1,1,64,1550,1486
32,0,0,37,0,-37
33,1,0,7,0,-7
34,1,1,258,3220,2962
35,1,1,103,4845,4742
36,1,1,1185,1537,352
37,1,0,73,0,-73
38,0,0,17,0,-17
39,0,0,55,0,-55
40,0,0,4,0,-4
41,1,0,9,0,-9
42,1,1,215,1414,1199
43,0,0,91,0,-91
44,1,1,405,1664,1259
45,1,1,386,1741,1355
46,1,0,30,0,-30
47,1,1,827,1276,449
48,0,0,64,0,-64
49,1,1,69,1410,1341
50,1,1,373,1939,1566
51,1,1,281,1260,979
52,1,0,3,0,-3
53,0,0,146,0,-146
54,0,0,10,0,-10
55,0,0,27,0,-27
56,1,1,323,1323,1000
57,0,0,45,0,-45
58,0,0,68,0,-68
59,0,0,123,0,-123
60,0,0,50,0,-50
61,0,0,98,0,-98
62,0,0,40,0,-40
63,0,0,11,0,-11
64,0,0,68,0,-68
65,0,0,56,0,-56
66,1,1,238,1401,1163
67,1,0,121,0,-121
68,0,0,138,0,-138
69,1,1,464,1869,1405
70,1,0,147,0,-147
71,1,1,301,1259,958
72,0,0,11,0,-11
73,0,0,48,0,-48
74,0,0,4,0,-4
75,1,1,575,1374,799
76,1,0,60,0,-60
77,1,0,45,0,-45
78,0,0,5,0,-5
79,1,0,4,0,-4
80,0,0,21,0,-21
81,1,0,3,0,-3
82,1,0,20,0,-20
83,0,0,136,0,-136
84,1,0,6,0,-6
85,1,0,10,0,-10
86,1,1,42,1413,1371
87,0,0,3,0,-3
88,1,0,20,0,-20
89,0,0,4,0,-4
90,1,0,43,0,-43
91,1,0,26,0,-26
92,1,1,143,1487,1344
93,1,1,524,1692,1168
94,1,1,157,1419,1262
95,1,0,44,0,-44
