ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,36,21383.865751802725,0.013801542841831462,1,214,10875,3430,14091
1,18,38613.57401208503,0.26859325296919545,1,1292,8691,2350,9749
2,19,20429.2647958962,0.028089357490663585,1,146,6408,2300,8562
3,28,32619.42013978488,0.31042952922790773,0,11,0,0,-11
4,43,29478.22886369791,0.03873581693990676,0,86,0,0,-86
5,36,22308.45761700534,0.125748665267975,1,1320,4736,3098,6514
6,18,23799.0068702462,0.04134018469613991,1,186,5998,3001,8813
7,21,22957.828745088304,0.026342207384063433,1,732,7126,2624,9018
8,24,20686.176801058496,0.22571589580614906,1,714,4882,2798,6966
9,31,52568.63300181285,0.15612532225971135,1,156,5287,2294,7425
10,30,31593.200115696807,0.12292061993536105,1,68,14735,3560,18227
11,30,22381.56708493449,0.013401259048363942,1,462,6955,3179,9672
12,32,25575.06433235274,0.17053002572901424,1,141,9788,3252,12899
13,61,24776.305206671965,0.03450066947582632,1,160,5085,3859,8784
14,41,36764.655833730045,0.504138827273805,0,25,0,0,-25
15,33,27676.508016046468,0.1014165850139911,1,423,4824,2764,7165
16,34,23912.37687557622,0.14988741721144347,0,0,0,0,0
17,19,32581.554952779523,0.03964709603565201,0,57,0,0,-57
18,33,36395.011206323754,0.13664369698031123,1,516,7303,6408,13195
19,24,31547.65142341261,0.11561762434475822,1,433,5056,2569,7192
20,19,51041.472451287635,0.061007483982414866,1,33,4803,2448,7218
21,53,24003.236900435106,0.002342407505896344,1,1184,5114,2270,6200
22,73,21081.510237255217,0.15757559903697063,0,162,0,0,-162
23,54,22881.835620062073,0.09403438635075197,1,487,6635,2407,8555
24,55,27032.747740312065,0.12551456260793034,1,224,5081,3239,8096
25,22,46070.25141453713,0.020582750664641526,0,5,0,0,-5
26,24,24266.354365438976,0.04004967400212081,1,215,11766,2875,14426
27,50,38112.4877864929,0.11768418526995816,1,445,9744,2379,11678
28,28,61737.15388457005,0.0749121781346642,1,37,5301,2614,7878
29,34,24270.203286592852,0.15046180166918524,1,2123,5367,3340,6584
30,36,34778.663475993846,0.04821260361990854,0,30,0,0,-30
31,69,20787.99882340297,0.03908185088892459,1,352,6331,2448,8427
32,39,24654.542257865305,0.05879831480616808,1,177,6982,4033,10838
33,18,28229.167999269983,0.0480707087844132,1,524,5252,3774,8502
34,23,29166.515711236247,0.27518217789206595,1,183,10030,2836,12683
35,71,22944.88818621146,0.26393946872174057,1,1993,10398,2526,10931
36,27,20639.022797363796,0.5381431802885457,0,280,0,0,-280
37,32,29597.359074055265,0.01879082064381292,1,332,6105,2904,8677
38,19,20296.270783605403,0.07907337106736673,0,39,0,0,-39
39,65,182707.98672298042,0.09466436426932001,0,59,0,0,-59
40,34,28439.159080542227,0.18486662970433757,1,1972,6981,2629,7638
41,63,22867.339817520515,0.27961115142292986,0,58,0,0,-58
42,59,21267.933110574904,0.15814080902332034,1,542,5509,4046,9013
43,25,30538.864359084073,0.5001439198582058,0,12,0,0,-12
44,32,29289.91822267254,0.09903093453061597,1,1116,5586,2358,6828
45,25,27518.885909420216,0.11461012421580416,1,515,20144,4977,24606
46,19,21573.52336968316,0.017388203569638633,1,1891,7014,3250,8373
47,56,21719.717134751372,0.009981136090319385,1,89,6369,2388,8668
48,49,23177.89322650844,0.02390724646336596,1,32,12606,2460,15034
49,19,63368.91587312511,0.1294915190819483,1,107,5069,2311,7273
50,35,26271.353024703516,0.17653262087571187,0,72,0,0,-72
51,61,21604.543127629735,0.07658623541722231,1,752,8268,3878,11394
52,46,24668.537209649134,0.05049029699839537,1,231,4837,4647,9253
53,38,20170.56705511254,0.09600929332364494,0,66,0,0,-66
54,24,25055.061105473156,0.023154500867981025,1,119,9302,2291,11474
55,61,22247.797413973534,0.04867850757362255,1,2548,53423,2911,53786
56,65,67125.60049765692,0.17487139790100464,1,2798,4737,3369,5308
57,41,20786.451394654432,0.0615627985896909,1,176,12550,3198,15572
58,37,33056.75535984251,0.28909998551521754,0,14,0,0,-14
59,31,32683.420891327,0.012325765992006516,0,63,0,0,-63
60,40,29513.107146701313,0.10985911055953865,1,105,9468,4462,13825
61,64,20481.627682903,0.0006559142376188819,1,474,7049,2845,9420
62,31,112334.73973926288,0.016456661394668143,0,19,0,0,-19
63,68,21019.033047240202,0.11089921683213974,1,205,12305,2563,14663
64,33,29926.046143427717,0.05210736712291631,1,880,8427,9242,16789
65,28,30720.860513993,0.08844615013028492,1,624,11668,2270,13314
66,47,26838.654906790263,0.02268537500009946,1,946,9747,2315,11116
67,32,21459.755482080487,0.19267877532426894,1,405,7987,2472,10054
68,40,33727.89670372332,0.08953064439773717,1,249,10393,2344,12488
69,23,28015.475634588212,0.039331554205308185,0,32,0,0,-32
70,44,24161.4905934728,0.3805190218219579,1,1144,6608,3233,8697
71,34,20114.269738968225,0.009220967611945925,1,160,28195,2303,30338
72,43,20494.86667090356,0.13798871428246479,1,129,13228,2892,15991
73,22,23247.637303639258,0.0021423138909576166,1,85,6241,3444,9600
74,28,58777.03373721797,0.23903218804656723,1,410,22544,3254,25388
75,44,25365.314154435804,0.0648565334387548,1,96,5080,3422,8406
76,22,30546.61396578109,0.010003508590155615,1,358,5393,6693,11728
77,45,38015.788791322404,0.0864694798180501,1,1048,6096,2435,7483
78,67,20531.454736655953,0.04497247996745042,1,32,7379,2485,9832
79,24,66324.54803051573,0.3880015737286885,1,618,24024,2554,25960
80,54,26855.283360865495,0.204157440614726,1,209,5056,3596,8443
81,34,20405.06369259935,0.13231130617389608,0,49,0,0,-49
82,70,21935.988362776825,0.1558150460753667,1,151,4998,4195,9042
83,63,28592.539948071826,0.1383681980803187,1,576,6783,2906,9113
84,19,44535.432016674094,0.34436000512060716,0,21,0,0,-21
85,74,38508.329909120344,0.033027214901114224,1,710,5972,2892,8154
86,56,22835.025820857296,0.08033127955414014,1,141,9253,6559,15671
87,25,54253.07029210567,0.06834879056308817,1,1616,6116,2487,6987
88,48,25141.463693900336,0.0035519894325608528,1,1114,4807,3049,6742
89,74,40540.07673799381,0.029638617447259364,0,41,0,0,-41
90,19,59590.31542676306,0.0681251291071277,1,182,9251,2758,11827
91,22,39989.47183607923,0.09383131348959936,1,1454,10627,4828,14001
92,19,64900.377509787424,0.11524234995999207,1,393,5088,2320,7015
93,36,20500.8483013463,0.1068528934659663,0,27,0,0,-27
94,50,30867.602447594058,0.014994223394823683,1,45,7555,4509,12019
95,60,24438.62398486433,0.44848726182510296,0,16,0,0,-16
96,25,25890.283417864826,0.13281378300767896,1,1325,9531,2270,10476
